"Customer_id","Date","Total"
760,2010-11-06,32.5
860,2013-09-28,65
1200,2006-10-25,130
1420,2010-07-09,65
1940,2014-01-25,91
1960,2014-10-29,52
2620,2007-03-09,39
3050,2008-04-11,65
3120,2007-11-08,195
3260,2011-10-20,58.5
3510,2014-05-04,45.5
3970,2008-06-06,39
4000,2006-11-25,26
4180,2011-09-22,26
4390,2012-04-14,39
4750,2014-12-02,78
4840,2006-10-14,39
4910,2007-12-13,19.5
4950,2011-05-19,65
4970,2007-12-01,39
5250,2006-12-20,65
5480,2015-06-06,130
5990,2007-03-17,39
6240,2007-11-09,130
6390,2006-10-25,19.5
6570,2013-11-10,39
6600,2006-09-23,65
6690,2011-03-10,26
6690,2011-11-04,19.5
6690,2014-12-10,19.5
6710,2014-05-03,104
6940,2014-12-31,39
7000,2014-04-05,13
7210,2010-10-28,52
7450,2009-05-23,32.5
7560,2009-12-31,52
7660,2007-06-03,39
7660,2014-03-28,65
7730,2011-10-22,195
7740,2008-08-08,130
7790,2015-07-04,26
8060,2008-04-11,39
8240,2008-06-06,39
8190,2007-12-09,26
8200,2012-07-12,26
8550,2007-10-17,39
8560,2010-10-02,130
8590,2013-06-03,32.5
8620,2009-06-14,78
8720,2006-08-23,65
8950,2012-12-19,39
9010,2006-10-25,19.5
9230,2014-10-30,39
9250,2006-08-02,32.5
9300,2012-12-16,39
9720,2012-05-31,45.5
9740,2007-12-31,78
9830,2009-12-31,39
9980,2012-09-13,130
10150,2012-07-07,65
10210,2007-10-31,39
10250,2008-04-13,39
10310,2006-12-17,39
10550,2007-12-31,39
10580,2012-11-18,19.5
10600,2013-12-07,78
10630,2009-11-20,13
10670,2008-07-26,195
10700,2007-03-08,19.5
10720,2014-06-27,26
10770,2010-11-04,65
10870,2006-08-02,32.5
10950,2008-06-18,13
11000,2009-04-18,39
11070,2006-07-26,32.5
11070,2007-04-29,39
11130,2010-08-26,39
11370,2010-04-10,130
11440,2009-07-17,39
11660,2008-12-18,65
11740,2012-06-28,39
11830,2008-12-20,39
11830,2012-12-16,39
11890,2010-07-24,52
11990,2008-11-29,39
12060,2006-10-14,26
12200,2011-11-26,39
12480,2009-10-09,130
12520,2013-12-07,130
12660,2014-12-31,65
12670,2006-11-16,234
12840,2008-02-27,260
13140,2006-10-29,39
13190,2010-05-20,39
13240,2006-11-23,19.5
13260,2011-05-18,65
13360,2013-10-21,91
13390,2006-12-29,32.5
13420,2009-12-31,39
13590,2010-12-23,78
13600,2013-11-23,13
13670,2009-12-18,65
13820,2008-09-04,130
13880,2013-12-31,1950
13890,2012-04-26,39
13900,2011-12-17,65
14030,2007-03-09,78
14040,2009-12-27,52
14060,2006-12-29,19.5
