Customer_id;Date;Total
5540;02/01/06;130
8150;02/01/06;26
10210;02/01/06;26
14140;04/01/06;26
5640;04/01/06;39
14150;06/01/06;273
10280;06/01/06;39
11740;06/01/06;39
14200;07/01/06;52
14190;07/01/06;130
14240;07/01/06;130
9480;07/01/06;39
8770;07/01/06;39
14230;07/01/06;39
14170;07/01/06;130
8210;08/01/06;26
14310;08/01/06;260
14270;08/01/06;39
14320;08/01/06;65
11260;10/01/06;39
11070;10/01/06;19.5
860;10/01/06;65
5670;10/01/06;65
14440;12/01/06;69.368
9090;12/01/06;260
14500;13/01/06;45.5
14470;13/01/06;39
14510;13/01/06;65
14450;13/01/06;39
14490;13/01/06;19.5
14540;14/01/06;130
13350;14/01/06;195
2380;14/01/06;39
14520;14/01/06;32.5
14600;15/01/06;13
14570;15/01/06;97.5
10950;16/01/06;13
14680;18/01/06;19.5
14690;18/01/06;198.185
5820;18/01/06;130
14700;18/01/06;117
14670;18/01/06;98.8
2070;19/01/06;39
11080;19/01/06;65
8170;19/01/06;130
14710;19/01/06;39
4000;20/01/06;26
14720;20/01/06;39
14740;20/01/06;65
6750;20/01/06;26
8320;20/01/06;65
8110;20/01/06;39
14780;21/01/06;39
11940;21/01/06;39
10410;21/01/06;130
14770;21/01/06;19.5
10300;21/01/06;26
14750;21/01/06;39
14760;21/01/06;13
6010;21/01/06;39
9050;21/01/06;39
6670;23/01/06;39
6540;23/01/06;52
14810;25/01/06;52
14800;25/01/06;52
10430;26/01/06;195
10550;26/01/06;39
14830;27/01/06;13
11240;27/01/06;65
14840;29/01/06;32.5
9160;30/01/06;65
4250;30/01/06;52
8600;01/02/06;39
230;02/02/06;65
9660;04/02/06;78
10390;06/02/06;97.5
14890;08/02/06;39
1430;11/02/06;65
8690;12/02/06;39
12110;15/02/06;39
1940;02/03/06;39
14980;20/03/06;39
15020;16/04/06;39
15050;16/04/06;39
15040;16/04/06;39
15030;16/04/06;39
15010;16/04/06;39
14990;16/04/06;39
9560;16/04/06;39
15310;19/04/06;65
15280;19/04/06;65
15320;19/04/06;19.5
15270;19/04/06;19.5
15170;19/04/06;19.5
15330;19/04/06;65
15080;19/04/06;26
15290;19/04/06;19.5
15140;19/04/06;19.5
15230;19/04/06;39
15100;19/04/06;65
15180;19/04/06;130
15220;19/04/06;39
15260;19/04/06;65
7920;19/04/06;39
15110;19/04/06;26
15060;19/04/06;19.5
15300;19/04/06;39
15160;19/04/06;39
15090;19/04/06;52
15070;19/04/06;19.5
15190;19/04/06;39
15200;19/04/06;19.5
15210;19/04/06;19.5
15340;19/04/06;39
15240;19/04/06;19.5
15580;20/04/06;19.5
15550;20/04/06;19.5
15370;20/04/06;39
9940;20/04/06;39
15360;20/04/06;39
15730;20/04/06;39
15380;20/04/06;19.5
15570;20/04/06;39
15350;20/04/06;65
15480;20/04/06;130
15470;20/04/06;65
15510;20/04/06;19.5
6280;20/04/06;19.5
15670;20/04/06;65
15620;20/04/06;39
15660;20/04/06;65
15600;20/04/06;130
15450;20/04/06;65
15590;20/04/06;65
15710;20/04/06;19.5
15530;20/04/06;65
15680;20/04/06;39
15440;20/04/06;65
15460;20/04/06;19.5
15610;20/04/06;65
15540;20/04/06;65
15630;20/04/06;19.5
15640;20/04/06;39
15720;20/04/06;39
15690;20/04/06;39
15390;20/04/06;39
15410;20/04/06;520
15400;20/04/06;19.5
15520;20/04/06;39
15770;21/04/06;39
